Y,X,DATE,CATEGORY
21.82015648,119.2015278,08_02,boat
21.99332384,119.2208271,08_02,boat
22.01306476,119.2790491,08_02,boat
21.90427796,119.3271077,08_02,boat
21.5920444,119.3504794,08_02,boat
21.59518057,119.3509671,08_02,boat
22.52422064,119.3777461,08_02,boat
21.73669576,119.3895162,08_02,boat
21.59150081,119.4073029,08_02,boat
22.48644972,119.4211799,08_02,boat
21.84655957,119.4308158,08_02,boat
21.84229609,119.4426504,08_02,boat
22.66380606,119.4481789,08_02,boat
21.37129019,119.4544145,08_02,boat
22.58431244,119.4548789,08_02,boat
21.45254681,119.4586216,08_02,boat
22.69131281,119.458951,08_02,boat
22.20067428,119.459185,08_02,boat
22.73881765,119.4631763,08_02,boat
22.73988348,119.4634373,08_02,boat
22.74094473,119.4635773,08_02,boat
22.14575391,119.4739264,08_02,boat
22.14401422,119.4737145,08_02,boat
22.35487128,119.4835873,08_02,boat
21.56349454,119.5493001,08_02,boat
22.1538344,119.5994933,08_02,boat
21.94789758,119.6213647,08_02,boat
21.86729731,119.6308632,08_02,boat
21.97622378,119.6431074,08_02,boat
22.06287389,119.6641936,08_02,boat
22.32375728,119.6698292,08_02,boat
22.62884733,119.6713475,08_02,boat
22.11209953,119.6733421,08_02,boat
22.11378211,119.6740655,08_02,boat
22.03687395,119.674703,08_02,boat
22.03629204,119.6759379,08_02,boat
22.0357273,119.6770083,08_02,boat
21.41642946,119.6789178,08_02,boat
21.99915983,119.6955916,08_02,boat
21.25663854,119.7107315,08_02,boat
22.11965248,119.7117729,08_02,boat
22.20234602,119.7256363,08_02,boat
21.60825311,119.733924,08_02,boat
21.92856512,119.7339479,08_02,boat
21.61009412,119.7344001,08_02,boat
22.29364004,119.745122,08_02,boat
21.45881205,119.749205,08_02,boat
22.59418895,119.7565216,08_02,boat
21.98998868,119.7847351,08_02,boat
22.32187456,119.7860573,08_02,boat
21.61083612,119.8078279,08_02,boat
22.32133973,119.8110527,08_02,boat
21.94388107,119.8215131,08_02,boat
21.56785726,119.821657,08_02,boat
22.61408493,119.8249605,08_02,boat
22.36811864,119.8342118,08_02,boat
21.50618252,119.8348594,08_02,boat
21.64317676,119.8476982,08_02,boat
21.37130764,119.8906379,08_02,boat
21.64231093,119.8908595,08_02,boat
21.6438469,119.8911963,08_02,boat
22.5772531,119.8971644,08_02,boat
21.47810194,119.9023543,08_02,boat
22.54605721,119.9026996,08_02,boat
21.75501025,119.9040145,08_02,boat
21.60088972,119.9086495,08_02,boat
21.52624999,119.9310438,08_02,boat
21.54989204,119.931972,08_02,boat
22.60922535,119.9369771,08_02,boat
22.25536392,119.9386775,08_02,boat
22.25844611,119.9395991,08_02,boat
22.39500511,119.9426,08_02,boat
22.39789309,119.9433226,08_02,boat
22.58194457,119.9494892,08_02,boat
22.39727582,119.9587869,08_02,boat
21.83565752,119.9634049,08_02,boat
22.47173021,119.9651073,08_02,boat
22.28087787,119.9655914,08_02,boat
22.01581481,119.9695878,08_02,boat
22.01704081,119.9694739,08_02,boat
22.48091897,119.9885116,08_02,boat
21.12461602,119.9936782,08_02,boat
22.2402872,119.9983973,08_02,boat
22.24239388,119.998951,08_02,boat
22.30547285,120.0045927,08_02,boat
22.30681141,120.0049964,08_02,boat
22.62587204,120.0164979,08_02,boat
22.55530094,120.0197616,08_02,boat
22.38361952,120.0260728,08_02,boat
21.51418025,120.0300039,08_02,boat
22.34910909,120.038265,08_02,boat
22.57933567,120.0527513,08_02,boat
22.52904422,120.0637605,08_02,boat
21.8351892,120.0642266,08_02,boat
22.46724912,120.0766713,08_02,boat
21.31817614,120.076874,08_02,boat
21.32091839,120.0772688,08_02,boat
22.48930266,120.0909847,08_02,boat
22.57353292,120.0962582,08_02,boat
22.46067853,120.1026808,08_02,boat
21.5805351,120.1212557,08_02,boat
21.37889913,120.1218777,08_02,boat
21.38024615,120.1220424,08_02,boat
22.51198555,120.1229566,08_02,boat
21.38142349,120.1223854,08_02,boat
21.94797922,120.123795,08_02,boat
22.57137659,120.1286347,08_02,boat
22.37038591,120.1332821,08_02,boat
22.60844884,120.1360842,08_02,boat
22.4420902,120.1441265,08_02,boat
22.21807086,120.1649488,08_02,boat
22.39320166,120.1746095,08_02,boat
22.29351838,120.182758,08_02,boat
22.19676799,120.1904487,08_02,boat
22.40653886,120.1939209,08_02,boat
22.40847375,120.1936157,08_02,boat
22.33377467,120.1975123,08_02,boat
22.39812105,120.2075582,08_02,boat
22.50793113,120.2137322,08_02,boat
22.51084455,120.215316,08_02,boat
22.2455899,120.2248018,08_02,boat
22.24670087,120.2251514,08_02,boat
22.37407039,120.2254332,08_02,boat
22.24777962,120.2258344,08_02,boat
22.51769317,120.2322287,08_02,boat
22.20117339,120.2362755,08_02,boat
22.43833798,120.2468125,08_02,boat
22.43668534,120.246504,08_02,boat
22.50904659,120.2811809,08_02,boat
22.4946645,120.2862261,08_02,boat
21.14545869,120.2873765,08_02,boat
22.47145014,120.2895782,08_02,boat
22.07443919,120.2960619,08_02,boat
22.26168434,120.2985502,08_02,boat
21.33368791,120.3004803,08_02,boat
22.48101312,120.3100952,08_02,boat
21.78396886,120.3152712,08_02,boat
22.18409184,120.3346655,08_02,boat
21.7359232,120.3394474,08_02,boat
22.22141563,120.3481099,08_02,boat
22.11352989,120.3640059,08_02,boat
22.12158901,120.3758383,08_02,boat
22.07001478,120.3782441,08_02,boat
21.840861,120.389839,08_02,boat
22.11810333,120.3971292,08_02,boat
22.22813583,120.4076461,08_02,boat
21.86526382,120.4150031,08_02,boat
21.51560803,120.4167561,08_02,boat
21.70313335,120.422953,08_02,boat
22.21716067,120.5058802,08_02,boat
21.82061906,120.5129976,08_02,boat
21.59913148,120.5154017,08_02,boat
21.49073606,120.5268532,08_02,boat
21.48918391,120.5274521,08_02,boat
22.25222178,120.5613208,08_02,boat
21.83717558,120.5724761,08_02,boat
21.40497155,120.6625961,08_02,boat
21.6149496,120.6728163,08_02,boat
21.57596729,120.692978,08_02,boat
21.40996702,120.7345199,08_02,boat
21.33406621,121.0549129,08_02,boat
21.33509129,121.0551999,08_02,boat
21.33635178,121.0555653,08_02,boat
21.33772072,121.0558885,08_02,boat
21.9422018,121.1227303,08_02,boat
22.10922566,121.3534298,08_02,boat
21.92941003,121.4229227,08_02,boat
21.93049658,121.4233344,08_02,boat
21.07470749,121.4242027,08_02,boat
21.93157684,121.4239377,08_02,boat
22.331177,121.4618602,08_02,boat
22.33176501,121.4622158,08_02,boat
22.3323698,121.4623341,08_02,boat
21.27259044,121.4950174,08_02,boat
21.27580088,121.4956767,08_02,boat
